"Club","Player_Count","Total_Appearances","Total_Goals","Total_Assists","Total_Clean_Sheets","Avg_Age","Min_Age","Max_Age","Total_Yellow_Cards","Total_Red_Cards"
"Arsenal",30,1975,231,202,224,25.1,19,33,302,13
"Aston-Villa",27,1006,47,55,131,26.3,19,34,110,2
"Brighton-and-Hove-Albion",33,1216,90,84,72,24.39,18,32,121,5
"Burnley",24,2431,180,142,280,27.12,19,35,367,5
"Chelsea",26,1965,219,159,291,25.65,19,38,191,7
"Crystal-Palace",30,3835,359,194,424,27.77,18,34,475,14
"Everton",31,2653,298,232,219,25.58,18,31,271,8
"Fulham",25,529,41,22,16,26.8,20,32,62,4
"Leeds-United",25,161,12,18,0,24.2,17,35,12,0
"Leicester-City",30,2421,269,183,271,26.93,19,36,232,17
"Liverpool",34,3004,447,367,281,24.97,17,34,269,12
"Manchester-City",25,2654,496,313,347,25.64,17,35,290,11
"Manchester-United",30,2765,270,209,434,25.33,18,33,321,11
"Newcastle-United",30,2409,234,164,214,26.57,19,31,328,16
"Sheffield-United",28,1159,67,43,175,26.21,18,38,111,6
"Southampton",24,1999,188,118,166,25.21,20,33,227,8
"Tottenham-Hotspur",31,2904,387,221,395,25.06,18,33,300,11
"West-Bromwich-Albion",28,1104,94,79,138,26.57,19,36,145,7
"West-Ham-United",29,2123,186,157,179,26,18,35,291,11
"Wolverhampton-Wanderers",22,937,67,55,106,25,18,34,94,4
